Temperature,Cp,Cp_uncertainty,H,H_uncertainty,S,S_uncertainty,G,G_uncertainty
100.0,29.101208104638463,3.0,63060.63475159189,6053.820936152821,169.1838295704924,16.24164763876727,63043.71636863484,6053.8211540244065
110.0,29.101105891720028,3.0,62522.812409499886,6002.189991311989,171.9573936786736,16.507909793152667,62503.89709619523,6002.190265993735
120.0,29.101028150415402,3.0,62102.341999817094,5961.8248319824415,174.4894625471396,16.7509884045254,62081.40326431144,5961.825170853242
130.0,29.10096764943063,3.0,61772.14230737226,5930.125661507736,176.8187423888991,16.974599269334313,61749.1558708617,5930.126072082128
140.0,29.100919644014272,3.0,61512.86960704444,5905.235482276266,178.9753203363883,17.181630752293277,61487.81306219735,5905.235972187727
150.0,29.100880917340152,3.0,61310.338500420046,5885.792496040324,180.98304760588857,17.3743725701653,61283.19104327916,5885.79307302704
160.0,29.100849230349308,3.0,61153.9099387308,5870.775354118157,182.8611519767579,17.554670589768754,61124.65215441452,5870.776026010747
170.0,29.100823000027503,3.0,61035.44817896584,5859.403025180721,184.6253605777309,17.724034615462163,61004.061867667624,5859.403799891549
180.0,29.100801120608683,3.0,60948.62542154154,5851.068040467988,186.28870126520928,17.88371532146009,60915.0934553138,5851.068925981779
190.0,29.10078289209774,3.0,60888.44603669347,5845.290819522573,187.86208704887198,18.034760356691706,60852.75224015419,5845.291823888098
200.0,29.1007680484048,3.0,60850.91352421343,5841.687698324489,189.3547504432298,18.17805604255006,60813.04257412478,5841.688829647171
210.0,29.100756891670965,3.0,60832.79262982877,5839.948092463563,190.77457174427204,18.314358887450112,60792.72996976248,5839.949358898843
220.0,29.10075054316506,3.0,60831.43634264706,5839.8178888941175,192.12833088129204,18.444319764604035,60789.16810985318,5839.819298641494
230.0,29.100751316407482,3.0,60844.65802922678,5841.08717080577,193.42190325579296,18.568502712556125,60800.17099147795,5841.088732103404
240.0,29.100763207384627,3.0,60870.63554172939,5843.581012006021,194.66041389077725,18.687399733514617,60823.9170423956,5843.58273312584
250.0,29.10079248298129,3.0,60907.838349873666,5847.152481587872,195.84836011561757,18.801442571099287,60858.876259844765,5847.154370831113
260.0,29.100848335360755,3.0,60954.97150038342,5851.677264036808,196.98971020043186,18.911012179241457,60903.75417573131,5851.6793297299455
270.0,29.10094355970736,3.0,61010.93204337403,5857.049476163907,198.08798339189434,19.016446405621856,60957.44828785822,5857.051726654926
280.0,29.10109520725936,3.0,61074.774810601106,5863.1783818177055,199.14631541154301,19.11804627950813,61019.01384228587,5863.1808254726775
290.0,29.10132516548694,3.0,61145.685289270325,5869.985787769951,200.16751247752563,19.21608119784246,61087.636710651845,5869.9884329698825
300.0,29.10166062219118,3.0,61222.95793613454,5877.403961868916,201.15409618219982,19.310793233491182,61162.61170727988,5877.406817006851
310.0,29.102134379089296,3.0,61305.97870308473,5885.373955496135,202.10834102098934,19.40240073801498,61243.32511736822,5885.37702897447
320.0,29.102784991643933,3.0,61394.21085197904,5893.844241789988,203.032305967727,19.491101372901795,61329.240514069366,5893.847542017994
330.0,29.103656723993073,3.0,61487.18335944467,5902.769602506688,203.92786119050564,19.57707467428854,61419.88716525181,5902.773137898214
340.0,29.10479931954005,3.0,61584.48137643972,5912.110212138214,204.79671077319847,19.660484234227052,61514.85049477683,5912.113991109557
350.0,29.1062675980854,3.0,61685.73832934016,5921.830879616656,205.64041213238644,19.7414795647091,61613.76418509382,5921.834910584578
360.0,29.108120898696978,3.0,61790.62934091982,5931.900416728302,206.46039268382427,19.820197697647128,61716.30359955364,5931.904708108188
370.0,29.11042239352695,3.0,61898.8657190279,5942.291109026677,207.25796420690858,19.896764563863226,61822.18027227134,5942.295669230813
380.0,29.113238301475292,3.0,62010.19031386761,5952.978270131291,208.03433527261964,19.971296186171482,61931.137266464015,5952.983107567254
390.0,29.11663703215166,3.0,62124.3735857142,5963.939864228563,208.790622034733,20.043899715334366,62042.94524312066,5963.94498729772
400.0,29.120688290310976,3.0,62241.210256710765,5975.156184644234,209.52785763173668,20.114674332646718,62157.39911365807,5975.161601740324
410.0,29.125462169207506,3.0,62360.51644525279,5986.609578744267,210.24700040484618,20.183712038865234,62274.315175086806,5986.615298252073
420.0,29.13102825851743,3.0,62482.12720105485,5998.284211301265,210.94894110351052,20.251098345937013,62393.528645791375,5998.290241595354
430.0,29.137454788986744,3.0,62605.894374495845,6010.165859951601,211.63450922212687,20.316912885324175,62514.89153553033,6010.172209395141
440.0,29.14480783209626,3.0,62731.68476618219,6022.241737553491,212.30447858900854,20.38122994454482,62638.27079560303,6022.24841449712
450.0,29.15315056906502,3.0,62859.37851253742,6034.500337203591,212.9595723099625,20.4441189417564,62763.546704997934,6034.507349984347
460.0,29.162542639648752,3.0,62988.867671155684,6046.931296430945,213.60046715334101,20.505644846720735,62890.61145626515,6046.938653371241
470.0,29.17303957758546,3.0,63120.05497604946,6059.525277700748,214.2277974505307,20.565868555250947,63019.36791124771,6059.532987107395
480.0,29.184692336297093,3.0,63252.85273809452,6072.273862857074,214.84215857503145,20.624847223203016,63149.728501978505,6072.281933020336
490.0,29.19754690563739,3.0,63387.181870175,6085.1694595368,215.4441100541981,20.682634565203013,63281.614256248446,6085.177898729497
500.0,29.21164401810466,3.0,63522.971019951285,6098.205217915323,216.03417836004436,20.739281122564257,63414.95393077126,6098.214034391959
510.0,29.227018941014816,3.0,63660.155795964565,6111.374956412598,216.6128594190192,20.794834504225843,63549.683237660865,6111.384158408513
