Temperature,Cp,Cp_uncertainty,H,H_uncertainty,S,S_uncertainty,G,G_uncertainty
100.0,28.92958570846605,3.0,20356.998952806596,28746.71760140279,159.57677813821147,41.48655550918256,20341.041274992775,28750.86625695371
110.0,29.29215159637782,3.0,19925.62491267934,28136.66258339915,161.5321800638598,40.1354131484133,19907.856372872317,28141.077478845476
120.0,29.424223032892034,3.0174785205736097,20027.41472086403,28280.615110645296,163.87656007035065,38.23417271025077,20007.74953365559,28285.203211370528
130.0,29.58752814878,3.0501395437512024,20115.790531337523,28405.597380402618,165.13706914047782,37.865757250155696,20094.32271234926,28410.51992884514
140.0,29.350390536637306,3.0027120213226643,20486.063923312537,28929.243033119576,166.58795235437557,37.228112094015124,20462.741609982924,28934.454968812737
150.0,29.394125244989894,3.0114589629931814,20646.167530743078,29155.663726132705,168.4611517328746,35.993221690286006,20620.898357983147,29161.062709386246
160.0,29.65092639054404,3.0628191921040107,20637.991143391464,29144.100568248832,170.51275209857903,34.506034190910334,20610.70910305569,29149.62153371938
170.0,29.903611819045032,3.1133562778042094,20664.8100272999,29182.028197599855,172.21515194242664,33.512690805532294,20635.533451469688,29187.725355036797
180.0,30.187953694911066,3.1702246529774163,20691.319017897895,29219.51757162836,173.28199655255548,33.41815825131655,20660.128258518434,29225.532840113596
190.0,29.603001628253313,3.0532342396458656,21235.97819047325,29989.781960355336,174.53849749167318,33.05541114445484,21202.815875949836,29996.062488472784
200.0,30.862769851060218,3.305187884207246,20732.38408314512,29277.59234384072,177.0257914806021,30.952059814075632,20696.978924849,29283.78275580354
210.0,29.453550010957656,3.023343916186734,21768.17326802516,30742.419456857446,177.55368240335042,31.619722874044395,21730.886994720455,30749.059598660995
220.0,29.64998003508274,3.0626299210117507,21755.661281279463,30724.72483550945,178.79877285587742,31.27311263207254,21716.325551251168,30731.604920288504
230.0,30.615249834351886,3.25568388086558,21304.4356472726,30086.595424206545,179.9475548757268,31.062703081764266,21263.047709651182,30093.739845915352
240.0,31.03458559940014,3.3395510338752303,21273.428169642102,30042.744228806514,181.57094708824064,30.18109336014945,21229.85114234092,30049.987691212948
250.0,30.144386066896203,3.161511127374443,21899.480186006727,30928.11548110039,182.6076090395468,30.129245531389202,21853.82828374684,30935.64779248324
260.0,30.18219786864797,3.169073487724797,22042.701144812643,31130.660503459796,183.99728448861177,29.578161226397697,21994.861850845606,31138.35082537866
270.0,31.551264850611705,4.069546590594168,21506.31997959065,30372.102985001373,185.66317898411967,28.636444199740858,21456.19092126494,30379.834824935304
280.0,30.705805998526117,3.273795113700426,22045.677985709648,31134.870392229364,185.9786941347245,29.6044519569944,21993.603951351924,31143.159638777328
290.0,30.328851302768996,3.198404174549002,22441.198525184718,31694.220903352132,186.82504430516263,29.821745629817112,22387.01926233622,31702.86920958478
300.0,31.362476567201327,3.8025596397780754,22018.031419430845,31095.772243244835,188.85292394182252,28.368104307165545,21961.375542248297,31104.282674536986
310.0,31.571939114650867,4.098784415190433,22067.667957638783,31165.968908767754,190.26506931787577,27.785242726681687,22008.68578615024,31174.582334013023
320.0,31.780550696335432,4.393805743276848,22117.772842222523,31236.827916087215,191.6555157537394,27.233068081703134,22056.443077181328,31245.542497873364
330.0,31.412376506568943,3.873128810793354,22430.148422536866,31678.593698321925,191.3883182919674,29.02515591834582,22366.990277500514,31688.171999774975
340.0,32.13615998340297,4.896713219953586,22242.69391156533,31413.492986577963,193.4913376483858,27.465250984938894,22176.90685676488,31422.831171912847
350.0,30.948948492524337,3.3224236125000703,22986.431291380228,32465.296475956024,193.25219091168253,29.217669105755007,22918.79302456114,32475.522660143037
360.0,30.78778877748143,3.290191669491489,23247.39234038025,32834.35113070297,194.60799469465113,28.714486570337172,23177.33346229018,32844.688345868286
370.0,31.694875706445025,4.2726430106176565,22862.296106761314,32289.74281430027,195.98369838244827,28.183161319620847,22789.78213835981,32300.170583988533
380.0,32.01666377336289,4.727720059062727,22843.24523799163,32262.80081731119,197.43811192020445,27.540523531600137,22768.21875546195,32273.266216253192
390.0,32.35527966526237,5.206595245822032,22821.68488587038,32232.30987493178,199.5124047919064,26.02124398247851,22743.875048001537,32242.458160084945
400.0,31.890743402305684,4.549641762534569,23185.57147682709,32746.923227028466,199.47795635079035,27.484174997480544,23105.78029428677,32757.91689702746
410.0,32.18344485444236,4.963584125872556,23175.420501829343,32732.567580515344,200.44860325091736,27.52568654941862,23093.236574496466,32743.85311200061
420.0,31.33118616955242,3.7583083350509456,23804.93193871131,33622.831192222795,200.20360098563322,29.286385638168678,23720.846426297343,33635.13147419083
430.0,31.32284885051078,3.7465175853884265,23962.071011052314,33845.05939950617,201.52001228223617,28.838912491224733,23875.41740577095,33857.4601318774
440.0,31.79318473017086,4.411672965274391,23812.60937136629,33633.68872160767,202.89188391744213,28.313006581254577,23723.336942442613,33646.14644450342
450.0,32.57584531821318,5.518522183618746,23525.896918704002,33228.216082551415,205.56571590977998,25.945850676556407,23433.392346544602,33239.891715355865
460.0,31.619848535810405,4.166538568359696,24217.362374421922,34206.09590794019,203.80492669469862,29.85019622737782,24123.612108142363,34219.826998204786
470.0,31.96897558371658,4.660278774499892,24143.6228546924,34101.81247905582,205.59156046445872,28.73772808156241,24046.994821274104,34115.31921125415
480.0,32.2307462984099,5.030478469451283,24131.726120971565,34084.98795687987,206.65128015301366,28.65327168806732,24032.533506498115,34098.74152729015
490.0,32.51878981917203,5.437833523066774,24108.98806812837,34052.83149416707,208.6408310271654,27.25383542118381,24006.754060925057,34066.18587352345
