Temperature,Cp,Cp_uncertainty,H,H_uncertainty,S,S_uncertainty,G,G_uncertainty
100.0,28.543059469224232,3.0,20437.666887770374,28860.799289077197,155.14067821413374,44.220849846393,20422.15281994896,28865.22137406183
110.0,28.52698445670042,3.0,20922.021630358955,29545.780335045696,157.1808383564901,42.74984126603268,20904.73173813974,29550.482817584954
120.0,28.5426900668611,3.0,20996.973134808646,29651.777769158714,159.16932687211445,41.35190740098669,20977.872815583993,29656.739998046833
130.0,28.58831187963535,3.0,20958.959247196788,29598.0180137395,160.56087969684293,40.79816808587018,20938.086332836196,29603.32177559066
140.0,28.730014498663166,3.0,20800.269408672662,29373.596691887884,162.59137905399734,39.34082191896566,20777.506615605103,29379.104406956536
150.0,28.64473088664508,3.0,21236.83237243432,29990.989956069418,164.10688968382146,38.61177979472091,21212.216338981747,29996.781723038624
160.0,29.703390758166616,3.1483919213228138,20402.43161306532,28810.969085715366,166.2009366197743,37.06456378002366,20375.839463206157,28816.89941592017
170.0,29.64962065126941,3.137637899943372,20600.439939354095,29090.995146215748,167.38665398295862,36.801919766240225,20571.98420817699,29097.251472576005
180.0,29.01083662366782,3.0098810944230543,21252.15976000672,30012.666155450053,168.68855942094416,36.374961001286906,21221.79581931095,30019.213648430283
190.0,28.98578296565213,3.0048703628199167,21481.93958331373,30337.62389793052,170.61337557481926,35.067073453774995,21449.523041954515,30344.286641886734
200.0,30.21114269173666,3.2499423080368226,20841.016200969414,29431.22135817715,172.5245033245184,33.778544233095985,20806.511300304508,29437.977067023767
210.0,30.648625279579473,3.8548109691445163,20825.544723218918,29409.341384512445,173.62089022781853,33.642232567213796,20789.084336271073,29416.406253351557
220.0,30.27845307540387,3.3313084175858365,21128.567049985166,29837.879668727124,175.05031028095624,33.0349409041115,21090.055981723355,29845.14735572603
230.0,29.356508341003376,3.079015437890165,21865.71453920504,30880.363645451147,175.61547397843088,33.649892300555024,21825.32298019,30888.103120680276
240.0,29.751664271634134,3.1580466240163165,21741.250801109418,30704.345339012663,176.98061067365455,33.133511034049604,21698.77545454774,30712.297381660836
250.0,29.957971735387822,3.199308116767055,21778.550109348445,30757.09452659143,178.26073762954644,32.737351693840985,21733.984924941058,30765.278864514894
260.0,30.180563797669034,3.243826529223297,21812.2651575083,30804.77480495516,179.08513369472124,32.98569316007689,21765.70302274767,30813.35108517678
270.0,31.101269214012955,4.494946160146265,21535.607466876605,30413.521746728995,181.51261761397137,30.96692604140385,21486.599060120832,30421.882816760175
280.0,31.115868011269203,4.515591977220385,21673.235490469007,30608.157164255976,182.0635682867067,31.601977690196065,21622.257691348732,30617.005718009234
290.0,30.809464842991474,4.0822724610879355,21953.73590328457,31004.844652310996,183.48937274218812,30.999799254335343,21900.523985189335,31013.83459409475
300.0,31.424080910184646,4.951470838964932,21830.969085869132,30831.226154112705,184.99968381432512,30.27811041509002,21775.46918072483,30840.30958723723
310.0,31.233997461598218,4.682652247991357,22051.17422942335,31142.643254631395,185.70876653534427,30.689529576553447,21993.604511797395,31152.157008800128
320.0,31.452733660195605,4.9919919466297165,22097.458076263993,31208.098498552226,187.00908240126847,30.264818805967636,22037.615169895584,31217.783240570137
330.0,31.44857014246369,4.986103843386062,22238.43910273848,31407.475778229727,188.12499271196162,30.1008968725665,22176.35785514353,31417.409074197676
340.0,31.21850086974289,4.6607367576189915,22485.22290194509,31756.480774041673,189.00108950955848,30.276122461826482,22420.962531511843,31766.7746556787
350.0,31.580978617974882,5.173357705227135,22457.007199943342,31716.577745598926,190.05385581038558,30.201499643560496,22390.48835040971,31727.148270474172
360.0,30.753267646897537,4.0027976242045495,23028.501685376763,32524.792997720302,190.3212513012375,31.23755887625341,22959.986034908317,32536.038518915753
370.0,30.623646168961162,3.819485172132083,23261.342939781644,32854.08025757965,191.1226080790782,31.51848281510463,23190.627574792383,32865.742096221235
380.0,31.700629080714293,5.342569012377427,22814.96574066921,32222.80756866073,193.09806286353987,30.138981429437184,22741.588476781064,32234.260381603915
390.0,31.13617981159723,4.544317200720496,23249.338167897575,32837.102946368,193.11685060097813,31.52662511871881,23174.022596163195,32849.3983301643
400.0,31.829853965409296,5.525320596909198,23027.481501487837,32523.35023982847,195.5495169725766,29.500528905648334,22949.26169469881,32535.15045139073
410.0,30.85010964072253,4.139752885279105,23723.14344746785,33507.16479866026,195.59397074015806,30.85187534700919,23642.949919464387,33519.814067552536
420.0,31.96343724492494,5.7142358825064985,23235.531758312532,32817.577734685154,197.83536641512796,29.096276747195443,23152.44090441818,32829.798170918984
430.0,31.40987928783044,4.931386712023912,23672.182516025598,33435.095158263466,197.4904204542628,30.99831756570989,23587.261635230265,33448.42443481672
440.0,31.881256394246517,5.598014608909715,23552.726240504588,33266.15847331107,199.36059197676326,29.767709196998858,23465.00758003481,33279.25626535775
450.0,31.396676102048946,4.912714587625193,23971.581732892148,33858.50959132002,198.9452785086359,31.76926469863388,23882.056357563262,33872.80576043441
460.0,31.121640237067396,4.523755137229269,24300.18061730587,34323.218590238575,199.3427716459761,32.62133807523026,24208.48294234872,34338.22440575318
470.0,32.01484124625496,5.786932118347653,23899.351569921404,33756.360715234376,201.95397898544917,30.34274680395236,23804.43319979824,33770.62180623224
480.0,31.48655513552786,5.039822735744057,24358.568270667667,34405.79120149797,201.8851323756542,31.854324175620917,24261.663407127355,34421.08127710227
490.0,31.839861421873017,5.539473277565052,24285.21759044411,34302.057674716525,203.6742067337563,30.738404516672063,24185.41722914457,34317.11949292969
